,UMCFS_Importance
tqwt_entropy_shannon_dec_5,2010509621.8301172
tqwt_TKEO_mean_dec_4,1940502410.6276317
tqwt_stdValue_dec_15,1389676532.641722
Ed2_3_coef,1379156664.6720417
tqwt_TKEO_mean_dec_7,1366614574.7751324
app_LT_TKEO_std_3_coef,1302189423.0679178
tqwt_TKEO_std_dec_11,1228960969.4344723
det_entropy_log_2_coef,1203252065.4924588
tqwt_stdValue_dec_10,1132987622.8522887
tqwt_TKEO_mean_dec_28,1029792820.8993081
tqwt_entropy_shannon_dec_26,825603032.7567607
app_TKEO_std_4_coef,817731571.6596019
tqwt_entropy_log_dec_14,800295062.0133579
tqwt_TKEO_std_dec_3,796581429.8219162
tqwt_TKEO_mean_dec_13,772613057.8005874
det_TKEO_std_3_coef,741533049.9270111
tqwt_minValue_dec_32,702065472.0451354
app_TKEO_std_3_coef,688748882.1079099
apq3Shimmer,626924273.6311933
tqwt_TKEO_mean_dec_30,572014394.7188529
det_LT_TKEO_mean_8_coef,530790279.71623564
tqwt_TKEO_mean_dec_24,501029641.75071365
tqwt_maxValue_dec_8,463840983.06048447
det_LT_entropy_log_9_coef,447225071.6027277
tqwt_energy_dec_8,439578874.7592532
tqwt_minValue_dec_24,323368478.1603424
tqwt_kurtosisValue_dec_19,319535274.26144814
std_delta_log_energy,308184243.3328556
tqwt_stdValue_dec_17,298309662.2630867
det_TKEO_mean_4_coef,263515683.78638846
tqwt_stdValue_dec_23,202998486.86331412
tqwt_minValue_dec_8,187803663.0282188
tqwt_stdValue_dec_12,177217733.34705517
tqwt_skewnessValue_dec_2,170349955.24940807
ddpJitter,162721183.78054738
det_entropy_shannon_1_coef,157302603.4074903
tqwt_stdValue_dec_22,132570504.20455422
det_entropy_log_3_coef,130285803.67964941
tqwt_TKEO_mean_dec_34,117993636.99077138
mean_delta_delta_0th,115316845.47917826
det_entropy_shannon_4_coef,109719541.31880201
Ed_6_coef,109606547.33621795
tqwt_maxValue_dec_5,79818338.60964613
tqwt_maxValue_dec_6,76788661.78053665
tqwt_maxValue_dec_17,69973397.47065143
tqwt_maxValue_dec_32,57984698.55317424
app_LT_TKEO_mean_10_coef,43241034.50649104
tqwt_stdValue_dec_18,41531528.98374811
tqwt_stdValue_dec_14,38598680.908331394
Ed_2_coef,26725089.281172793
app_LT_TKEO_mean_9_coef,23843276.751482267
tqwt_maxValue_dec_3,22954481.548941348
det_entropy_log_8_coef,16945995.906125836
det_TKEO_std_6_coef,13049737.53937449
app_LT_TKEO_mean_7_coef,11916445.881492153
app_LT_entropy_shannon_7_coef,10910255.256407632
app_LT_entropy_shannon_5_coef,9262639.538656635
app_LT_TKEO_mean_6_coef,7868081.735029966
app_LT_entropy_shannon_4_coef,7042657.454703607
tqwt_energy_dec_29,6252488.70634814
det_entropy_shannon_6_coef,1604626.8961234721
app_LT_entropy_log_3_coef,1139876.4054840968
app_LT_entropy_log_9_coef,1033413.3024410133
tqwt_TKEO_std_dec_5,822460.2321775348
Ed2_1_coef,813527.613698073
app_entropy_log_7_coef,805134.8510900283
det_TKEO_mean_9_coef,799333.9067999284
tqwt_stdValue_dec_29,669502.9640923204
